canton,lowest,highest
AG,260,908
AI,560,2502
AR,440,2502
BE,402,4274
BL,246,1169
BS,245,522
FR,429,2389
GE,332,516
GL,410,3614
GR,260,4049
JU,364,1302
LU,406,2350
NE,429,1552
NW,434,2901
OW,434,3238
SG,396,3248
SH,344,912
SO,277,1445
SZ,406,2802
TG,370,991
TI,193,3402
UR,434,3630
VD,372,3210
VS,372,4634
ZG,388,1580
ZH,332,1292
